Products,Percentage
Machines,0.26
Metals,0.18
Transportation,0.11
Chemicals,0.074
Foodstuffs,0.072
Vegetable,0.046
Plastics&Rubbers,0.035
Miscellaneous,0.031
Instruments,0.03
Textiles,0.027
Others,0.135
