Products,Percentage
Minerals,0.19
Machines,0.19
Transportation,0.096
Chemicals,0.09
Metals,0.075
Foodstuffs,0.072
Plastics&Rubbers,0.046
Textiles,0.044
Vegetables,0.037
Animals,0.028
Others,0.132
