Products,Percentage
Minerals,0.91
Vegetables,0.021
Foodstuffs,0.016
Metals,0.0095
Precious_metals,0.0088
Plastics&rubbers,0.0074
Machines,0.0059
Chemicals,0.0055
A&V_Biproducts,0.0039
Weapons,0.0038
Others,0.0082
